x90065495,Ada_Polak,1914-2010,1914
x90066377,Brita_Pollan,1939-,1939
x90186296,Geir_Pollen,1953-,1953
x90139559,Kjell_Arild_Pollestad,1949-,1949
x90537621,Erik_Pontoppidan,1698-1764,1698
x02131728,Elyas_Poorgholam,1950-,1950
x05087087,Edy_Poppy,1975-,1975
x90251446,Cole_Porter,1891-1964,1891
x90254069,Tóroddur_Poulsen,1957-,1957
x05035362,Adam_Donaldson_Powell,1954-,1954
x12026552,Adrian_Pracon,1989-,1989
x90108238,Christen_Pram,1756-1821,1756
x90260963,Leif_Preus,1928-2013,1928
x90052333,Marcel_Proust,1871-1922,1871
x99005242,Christin_Grilstad_Prøis,1965-,1965
x90096066,Elin_Prøysen,1949-,1949
x99009917,Johann_Andreas_Quenstedt,1617-1688,1617
x90117421,Francisco_de_Quevedo,1580-1645,1580
x01028504,Annine_Qvale,1963-,1963
x90067950,Bjarne_Rabben,1907-2007,1907
x11070062,Bjarne_Rabben,1907-2003,1907
x90052151,Jean_Racine,1639-1699,1639
x90367568,Ellinor_Rafaelsen,1945-,1945
x90090449,Knut_Rage,1952-,1952
x90357969,Willi_Railo,1941-2010,1941
x90229318,Oddvar_Rakeng,1939-,1939
x02002502,Øystein_Rakkenes,1956-,1956
x90196370,Povel_Ramel,1922-2007,1922
x90133166,Eva_Ramm,1925-,1925
x05061053,Morten_Ramsland,1971-,1971
x97051429,Lars_Ramslie,1974-,1974
x90752681,Olav_Randen,1948-,1948
x90166305,Ørnulf_Ranheimsæter,1919-2007,1919
x90328022,Arthur_Ransome,1884-1967,1884
x90073476,Edith_Ranum,1922-2002,1922
x90543253,Jacob_Rasch,1669-1737,1669
x90196397,Rolf_Rasch-Engh,1942-,1942
x90251982,Jostein_Eivind_Rasmussen,1945-,1945
x90154504,Tarald_Rasmussen,1949-,1949
x07052584,Agnes_Ravatn,1983-,1983
x02111835,Tarjei_van_Ravens,1970-,1970
x90639691,Per-Bjarne_Ravnå,1962-,1962
x13048839,Lars_Rune_Rebbestad,1966-,1966
x90232462,Viggo_Ree,1950-,1950
x07026472,Liv_Hege_Refsdal,1963-,1963
x90156651,Ingjald_Reichborn-Kjennerud,1865-1949,1865
x90375125,Haldis_Reigstad,1939-,1939
x02083838,Matthew_Reilly,1974-,1974
x90767886,Arild_Rein,1960-,1960
x90599489,Jonas_Rein,1760-1821,1760
x90528965,Tore_Reinertsen,1941-,1941
x97044256,Berit_Reiss-Andersen,1954-,1954
x90251213,Gunnar_Reiss-Andersen,1896-1964,1896
x06076734,Anders_Jørgensen_Reitan,1826-1872,1826
x90080412,Håvard_Rem,1959-,1959
x90858991,Tore_Renberg,1972-,1972
x90769850,Eirik_Reppen,1967-,1967
x90059471,Pål_Repstad,1947-,1947
x90554748,Fritz_Reuter,1810-1874,1810
x90067577,Jean_Rhys,1890-1979,1890
x02100090,Asbjørn_Ribe,1975-,1975
x02038049,Kristin_Ribe,1972-,1972
x90621453,Tim_Rice,1944-,1944
x90619587,Christian_Richardt,1831-1892,1831
x90356939,Astri_Riddervold,1925-,1925
x90060902,Hallvard_Rieber-Mohn,1922-1982,1922
x90061173,Annie_Riis,1927-,1927
x90140970,Claus_Pavels_Riis,1826-1886,1826
x10066700,Eivind_Riise_Hauge,1980-,1980
x90795678,Jens_Aksel_Riisnæs,1948-,1948
x90866806,John_Erik_Riley,1970-,1970
x90053126,Rainer_Maria_Rilke,1875-1926,1875
x90695781,Øyvind_Rimbereid,1966-,1966
x90053049,Barbra_Ring,1870-1955,1870
x09051358,Kjell_Terje_Ringdal,1956-,1956
x90089651,Nils_Johan_Ringdal,1952-2008,1952
x90092464,Stein_Ringen,1945-,1945
x90246669,Gunnar_Ringheim,1953-,1953
x90159011,Haagen_Ringnes,1928-2008,1928
x90113167,Bjørn_Ringom,1945-,1945
x09068118,Rick_Riordan,1964-,1964
x90073330,Otto_Risanger,1945-,1945
x11038549,Elin_Rise,1983,1983
x11041097,Elin_Rise,1983-,1983
x90181750,Kari_Risvik,1932-,1932
x90330576,Kjell_Risvik,1941-,1941
x09003802,Nancy_Øvrehus_Riveland,1977-,1977
x90663338,Gunnar_Roalkvam,1951-,1951
x90173552,Nora_Roberts,1950-,1950
x90916133,Thomas_Robsahm,1964-,1964
x90678232,Kåre_Rodahl,1917-2008,1917
x90173814,Richard_Rodgers,1902-1979,1902
x90920579,Robert_Rodríguez,1968-,1968
x90133328,Jørn_Roeim,1950-,1950
x90184820,Knut_Roen,1921-1993,1921
x90185537,Bente_Roestad,1960-,1960
x90203710,Isak_Rogde,1947-2010,1947
x08023605,Bobby_Rogers,1940-,1940
x90077537,Anker_Rogstad,1925-1994,1925
x90078109,Nordahl_Rolfsen,1848-1928,1848
x90916189,Ulrik_Imtiaz_Rolfsen,1972-,1972
x90079440,Halvor_Roll,1929-,1929
x90578592,Kjetil_Rolness,1961-,1961
x07015134,Lajla_Rolstad,1978-,1978
x90264552,Tor_Inge_Romøren,1947-,1947
x90351853,Bjørn_Rongen,1906-1983,1906
x01082979,Arne_Ronold,1957-,1957
x09017020,Kjersti_Rorgemoen,1982-,1982
x90059377,Rosa_Liksom,1958-,1958
x90074537,Johan_Hammond_Rosbach,1921-2004,1921
x08049891,Theodor_Rose,1839-1924,1839
x10018388,Hans_Rosenfeldt,1964-,1964
x90150103,Carl_Olof_Rosenius,1816-1868,1816
x00048924,Randi_Rosenqvist,1951-,1951
x11013147,Otto_Rosing,1896-1965,1896
x05019702,Anders_Roslund,1961-,1961
x08057645,Tatiana_de_Rosnay,1961-,1961
x05072027,Frank_Rossavik,1965-,1965
x90817877,Øystein_Rosse,1956-,1956
x02105816,Arild_Rossebø,1974-,1974
x00065079,Jon_Rosslund,1960-,1960
x06006478,Jack_Rostøl,1952-,1952
x98065544,Siv_Kristin_Rotevatn,1964-,1964
x90111782,Hans_Rotmo,1948-,1948
x13021221,Linn_Rottem,1983-,1983
x04103540,Bernt_Rougthvedt,1956-,1956
x90088540,Borghild_Rud,1910-1999,1910
x90060117,Nils_Johan_Rud,1908-1993,1908
x00046904,Jon_Ruder,1959-,1959
x90229610,Ola_Rudvin,1899-1978,1899
x97029267,Anders_Kvåle_Rue,1965-,1965
x99071860,Kari_Rueslåtten,1973-,1973
x04100812,Øystein_Runde,1979-,1979
x07027495,Paul_Rusesabagina,1954,1954
x90128232,Arne_Ruset,1951-,1951
x01071477,Endre_Ruset,1981-,1981
x90096050,Salman_Rushdie,1947-,1947
x90341011,Unni_Rustad,1948-,1948
x90122323,Arne_Ruste,1942-,1942
x08019326,Solveig_Kristine_Moen_Rusten,1981-,1981
x90119622,Edvard_Ruud,1907-2001,1907
x12032521,May_Lis_Ruus,1968-,1968
x10042859,Asbjørn_Rydland,1976-,1976
x90735208,Eli_Rygg,1955-,1955
x90056565,Magnar_Rygg,1948-2000,1948
x90847974,Pernille_Rygg,1963-,1963
x90246354,Oluf_Rygh,1833-1899,1833
x90507277,Inger_Lise_Rypdal,1949-,1949
x90051683,Henrik_Rytter,1877-1950,1877
x90204817,Ragna_Rytter,1885-1972,1885
x90878901,Kjell_Råd,1923-2006,1923
x06023398,Skjalg_Raaen,1980-,1980
x90198517,Anton_Ræder,1855-1941,1855
x06086540,Berit_Rødstøl,1979-,1979
x99064121,Tonje_Røed,1972-,1972
x90386307,Eva_Røine,1928-,1928
x03039552,Hanne_Eggen_Røislien,1975-,1975
x90163218,Mona_Røkke,1940-2013,1940
x90252818,Birger_Røksund,1910-2001,1910
x02014198,Eivind_Rølles,1959-2013,1959
x90057281,Ole_Rølvåg,1876-1931,1876
x90618519,Edvard_Rønning,1952-,1952
x09066206,Jon_Niklas_Rønning,1979-,1979
x13068680,Jonas_Rønning,1970-,1970
x90059298,Svend_Rønning,1919-1991,1919
x05000740,Arild_Rønsen,1955-,1955
x08008752,Johannes_Rørtveit,1943-,1943
x90056021,Ove_Røsbak,1959-,1959
x90189367,Ole_Røsholdt,1940-,1940
x98065385,Ingelin_Røssland,1976-,1976
x98030241,Tor_Arve_Røssland,1971-,1971
x06024947,Bjørn_Røstad,1951-,1951
x90098365,Gro_Røsth,1945-,1945
x90094777,Pentti_Saarikoski,1937-1983,1937
x90242937,Herman_Sachnowitz,1921-1978,1921
x99060559,Angie_Sage,1952-,1952
x98074732,Lyder_Sagen,1777-1850,1777
x90054410,Rolf_Sagen,1940-,1940
x06097466,Steinar_Sagen,1975-,1975
x10076824,Tore_Sagen,1980-,1980
x05095861,Mari_Sager,1974-,1974
x90062946,Antoine_de_Saint-Exupéry,1900-1944,1900
x12051590,Verónica_Salinas,1977-,1977
x90401989,Tobias_Salmelid,1937-,1937
x90094789,Alf_Saltveit,1946-,1946
x05073980,Rune_Salvesen,1978-,1978
x06083972,Cecilia_Samartin,1961-,1961
x09069663,Elisabeth_Nordeng,1968-,1968
x90728914,Arne_Samuelsen,1950-,1950
x07015195,Bjarte_Samuelsen,1978-,1978
x01077927,Jørund_Fluge_Samuelsen,1972-,1972
x05026132,Laila_Samuelsen,1976-,1976
x90210891,Aage_Samuelsen,1915-1987,1915
x04034985,José_María_Sánchez-Silva,1911,1911
x12005638,Yoani_Sánchez,1975-,1975
